lakeid,year4,sampledate,depth,rep,sta,event,wtemp,o2,o2sat,shortwaverad,saturation
ME,1995,1995-05-09,0,1,1,,7.8,13.2,117.7,51.73,11.21495327
ME,1995,1995-05-09,1,1,1,,7.8,13.1,116.8,51.73,
ME,1995,1995-05-09,2,1,1,,7.8,13.2,117.7,,
ME,1995,1995-05-09,3,1,1,,7.8,13.2,117.7,,
ME,1995,1995-05-09,4,1,1,,7.8,13.2,117.7,,
ME,1995,1995-05-09,5,1,1,,7.7,13.1,116.5,,
ME,1995,1995-05-09,6,1,1,,7.7,13.1,116.5,,
ME,1995,1995-05-09,7,1,1,,7.7,13.1,116.5,,
ME,1995,1995-05-09,8,1,1,,7.7,13.1,116.5,,
ME,1995,1995-05-09,9,1,1,,7.7,13.1,116.5,,
ME,1995,1995-05-09,10,1,1,,7.7,13.1,116.5,,
ME,1995,1995-05-09,11,1,1,,7.7,13.1,116.5,,
ME,1995,1995-05-09,12,1,1,,7.7,13.1,116.5,,
ME,1995,1995-05-09,13,1,1,,7.7,13.1,116.5,,
ME,1995,1995-05-09,14,1,1,,7.6,13,115.4,,
ME,1995,1995-05-09,15,1,1,,7.6,13,115.4,,
ME,1995,1995-05-09,16,1,1,,7.6,13.1,116.3,,
ME,1995,1995-05-09,17,1,1,,7.6,13,115.4,,
ME,1995,1995-05-09,18,1,1,,7.6,13,115.4,,
ME,1995,1995-05-09,19,1,1,,7.6,,,,
ME,1995,1995-05-09,20,1,1,,7.6,13,115.4,,
ME,1995,1995-05-09,21,1,1,,7.6,12.9,114.5,,
ME,1995,1995-05-09,22,1,1,,7.6,13.1,116.3,,
ME,1995,1995-05-09,23,1,1,,7.6,13,115.4,,
ME,1995,1995-05-23,0,1,1,,14,9.2,94.7,168.6,
ME,1995,1995-05-23,1,1,1,,14,9.2,94.7,168.6,
ME,1995,1995-05-23,2,1,1,,14,9.3,95.7,,
ME,1995,1995-05-23,3,1,1,,13.9,9.3,95.5,,
ME,1995,1995-05-23,4,1,1,,13.9,9.5,97.6,,
ME,1995,1995-05-23,5,1,1,,13.4,9.6,97.5,,
ME,1995,1995-05-23,6,1,1,,13.3,9.6,97.3,,
ME,1995,1995-05-23,7,1,1,,13.2,9.5,96.1,,
ME,1995,1995-05-23,8,1,1,,13.1,9.4,94.9,,
ME,1995,1995-05-23,9,1,1,,12.9,9.2,92.4,,
ME,1995,1995-05-23,10,1,1,,12.9,9.1,91.4,,
ME,1995,1995-05-23,11,1,1,,12.8,9.1,91.2,,
ME,1995,1995-05-23,12,1,1,,12.6,9.1,90.8,,
ME,1995,1995-05-23,13,1,1,,11.9,9,88.4,,
ME,1995,1995-05-23,14,1,1,,11.1,8.9,85.8,,
ME,1995,1995-05-23,15,1,1,,10.8,9.3,89.1,,
ME,1995,1995-05-23,16,1,1,,10.5,9.3,88.5,,
ME,1995,1995-05-23,17,1,1,,10.4,9.1,86.4,,
ME,1995,1995-05-23,18,1,1,,10.2,9,85,,
ME,1995,1995-05-23,19,1,1,,10.2,7.3,69,,
ME,1995,1995-05-23,20,1,1,,9.8,8.3,77.7,,
ME,1995,1995-05-23,21,1,1,,9.6,,,,
ME,1995,1995-05-23,21.5,1,1,,9.6,8.4,78.2,,
ME,1995,1995-05-23,22,1,1,,9.6,8,74.5,,
ME,1995,1995-05-23,22.5,1,1,,9.5,7.4,68.8,,
ME,1995,1995-05-23,23,1,1,,9.5,,,,
ME,1995,1995-06-06,0,1,1,,19.3,10.1,116.2,121.7,
ME,1995,1995-06-06,1,1,1,,18.7,10.1,114.8,121.7,
ME,1995,1995-06-06,2,1,1,,18,10.3,115.4,,
ME,1995,1995-06-06,3,1,1,,17.9,10.3,115.2,,
ME,1995,1995-06-06,4,1,1,,17.5,10.2,113.1,,
ME,1995,1995-06-06,5,1,1,,15.6,9.4,100.2,,
ME,1995,1995-06-06,6,1,1,,15.1,9.2,97,,
ME,1995,1995-06-06,7,1,1,,14.9,9.5,99.7,,
ME,1995,1995-06-06,8,1,1,,14.6,9.1,94.9,,
ME,1995,1995-06-06,9,1,1,,14.1,8.9,91.8,,
ME,1995,1995-06-06,10,1,1,,13.8,9,92.2,,
ME,1995,1995-06-06,11,1,1,,13.5,8.5,86.5,,
ME,1995,1995-06-06,12,1,1,,13,7.7,77.5,,
ME,1995,1995-06-06,13,1,1,,12,6.8,67,,
ME,1995,1995-06-06,14,1,1,,11.5,5.9,57.4,,
ME,1995,1995-06-06,15,1,1,,11.2,5.8,56.1,,
ME,1995,1995-06-06,16,1,1,,11,4.9,47.2,,
ME,1995,1995-06-06,17,1,1,,10.6,4.7,44.8,,
ME,1995,1995-06-06,18,1,1,,10.3,3.5,33.1,,
ME,1995,1995-06-06,19,1,1,,10.3,3.2,30.3,,
ME,1995,1995-06-06,20,1,1,,10.1,2,18.8,,
ME,1995,1995-06-06,21,1,1,,10,0.9,8.5,,
ME,1995,1995-06-06,22,1,1,,9.9,0.6,5.6,,
ME,1995,1995-06-06,23,1,1,,9.9,0.5,4.7,,
